transaction_id,timestamp,date,risk_score,fraud_label,customer_id,merchant_id,merchant_category,channel,amount_gbp,reason_code,reviewed,review_date,backlog_days,sla_breach
1020663,2026-12-10 19:02:18,2026-12-10,0.4058775972924123,1,16290,4608,restaurants,ecommerce,46.34,GENERAL_RISK,1,2026-12-10,0,0
1020267,2026-12-10 12:26:12,2026-12-10,0.3931312407962329,0,119901,10020,electronics,ecommerce,62.16,AMOUNT_SPIKE,1,2026-12-10,0,0
1020904,2026-12-10 23:03:24,2026-12-10,0.3453855468665789,1,77713,787,electronics,ecommerce,246.02,NIGHT_TRANSACTION,1,2026-12-10,0,0
1020309,2026-12-10 13:08:42,2026-12-10,0.3394785712896066,1,47784,3191,electronics,ecommerce,30.73,VERY_NEW_ACCOUNT,1,2026-12-10,0,0
1020627,2026-12-10 18:26:08,2026-12-10,0.3355426387135573,0,73272,7723,grocery,ecommerce,26.02,GENERAL_RISK,1,2026-12-10,0,0
1020225,2026-12-10 11:44:16,2026-12-10,0.3119709748544198,1,110805,1226,grocery,ecommerce,46.28,VERY_NEW_ACCOUNT,1,2026-12-10,0,0
1020151,2026-12-10 10:30:34,2026-12-10,0.3039604631640711,1,119766,8081,fashion,ecommerce,79.08,AMOUNT_SPIKE,1,2026-12-10,0,0
1020787,2026-12-10 21:06:39,2026-12-10,0.2862788588367726,1,44591,9081,fashion,ecommerce,28.26,HIGH_IP_RISK,1,2026-12-10,0,0
1020868,2026-12-10 22:27:06,2026-12-10,0.2783670015872668,1,14302,1452,restaurants,ecommerce,85.18,HIGH_IP_RISK,1,2026-12-10,0,0
1020243,2026-12-10 12:02:03,2026-12-10,0.2769376886790421,0,43484,9289,electronics,ecommerce,59.85,AMOUNT_SPIKE,1,2026-12-10,0,0
1020580,2026-12-10 17:39:31,2026-12-10,0.272436439981052,1,96641,8316,grocery,card_present,17.64,HIGH_IP_RISK,1,2026-12-10,0,0
1020062,2026-12-10 09:01:05,2026-12-10,0.2667780308468385,0,86323,3467,fuel,ecommerce,56.01,AMOUNT_SPIKE,1,2026-12-10,0,0
1020251,2026-12-10 12:10:39,2026-12-10,0.2659754649273784,0,11756,11552,utilities,ecommerce,28.83,HIGH_IP_RISK,1,2026-12-10,0,0
1020028,2026-12-10 08:27:55,2026-12-10,0.2411129664250454,0,109163,9186,fuel,card_present,82.62,AMOUNT_SPIKE,1,2026-12-10,0,0
1020389,2026-12-10 14:28:49,2026-12-10,0.234754452490394,0,42982,3336,grocery,ecommerce,6.55,HIGH_IP_RISK,1,2026-12-10,0,0
1020935,2026-12-10 23:34:41,2026-12-10,0.2317013615217381,0,4850,9266,fuel,card_present,65.94,NIGHT_TRANSACTION,1,2026-12-10,0,0
1020146,2026-12-10 10:25:30,2026-12-10,0.2277011602953565,0,59477,3696,electronics,ecommerce,27.39,HIGH_IP_RISK,1,2026-12-10,0,0
1020595,2026-12-10 17:54:02,2026-12-10,0.2218823214084125,0,21734,10367,gaming,ecommerce,16.52,VERY_NEW_ACCOUNT,1,2026-12-10,0,0
1020548,2026-12-10 17:07:37,2026-12-10,0.2199131947070333,1,90184,5908,fuel,card_present,8.3,HIGH_IP_RISK,1,2026-12-10,0,0
1020666,2026-12-10 19:05:20,2026-12-10,0.2181553407562105,0,39980,6414,crypto,ecommerce,110.66,HIGH_IP_RISK,1,2026-12-10,0,0
1020813,2026-12-10 21:32:25,2026-12-10,0.2132595462572842,0,25667,3237,fashion,ecommerce,26.99,HIGH_IP_RISK,1,2026-12-10,0,0
1020168,2026-12-10 10:47:00,2026-12-10,0.2128038876431801,0,67340,9002,electronics,ecommerce,89.79,AMOUNT_SPIKE,1,2026-12-10,0,0
1020890,2026-12-10 22:49:00,2026-12-10,0.2112841197177451,0,5082,3940,electronics,ecommerce,92.14,HIGH_IP_RISK,1,2026-12-10,0,0
1020164,2026-12-10 10:43:44,2026-12-10,0.2063668737704937,0,63805,8000,gaming,ecommerce,37.82,GENERAL_RISK,1,2026-12-10,0,0
1020421,2026-12-10 15:00:35,2026-12-10,0.2037121545648775,0,114865,324,restaurants,ecommerce,22.49,HIGH_VELOCITY_1H,1,2026-12-10,0,0
1020789,2026-12-10 21:08:40,2026-12-10,0.2026589149146991,0,8962,9998,restaurants,ecommerce,139.32,AMOUNT_SPIKE,1,2026-12-10,0,0
1020456,2026-12-10 15:35:52,2026-12-10,0.2010304301184166,0,16565,4638,restaurants,ecommerce,18.62,HIGH_IP_RISK,1,2026-12-10,0,0
1020811,2026-12-10 21:30:36,2026-12-10,0.2008628422849368,0,32740,2737,grocery,ecommerce,9.99,GENERAL_RISK,1,2026-12-10,0,0
1020846,2026-12-10 22:05:05,2026-12-10,0.1984827291437765,1,83038,494,fuel,ecommerce,43.96,HIGH_IP_RISK,1,2026-12-10,0,0
1020065,2026-12-10 09:04:36,2026-12-10,0.1957340244169856,1,12323,10517,electronics,card_present,78.63,VERY_NEW_ACCOUNT,1,2026-12-10,0,0
1020670,2026-12-10 19:09:43,2026-12-10,0.1950032782856407,0,5918,5211,restaurants,ecommerce,20.49,GENERAL_RISK,1,2026-12-10,0,0
1020323,2026-12-10 13:22:04,2026-12-10,0.1949244512433714,0,80966,5376,fuel,ecommerce,40.35,HIGH_IP_RISK,1,2026-12-10,0,0
1020941,2026-12-10 23:40:24,2026-12-10,0.1942432540827016,0,17573,158,travel,ecommerce,13.84,NIGHT_TRANSACTION,1,2026-12-10,0,0
